datetime,date,name,gain,rank,p
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,1,0.8837
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,2,0.985
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,3,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,4,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,5,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,6,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,7,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,8,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,9,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,10,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,11,1.0
2023-08-01T03:24:06.833912,2023-08-01,SMER-SD,19.3698,12,1.0
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,1,0.0
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,2,0.0
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,3,0.0
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,4,0.0385
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,5,0.2111
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,6,0.4259
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,7,0.6482
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,8,0.8508
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,9,0.9701
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,10,0.9955
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,11,0.9996
2023-08-01T03:24:06.833912,2023-08-01,SaS,5.9787,12,1.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,6.3295,1,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,6.3295,2,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,6.3295,3,0.0
2023-08-01T03:24:06.833912,2023-08-01,OĽaNO,6.3295,4,0.0656
